stock_id
3661.TW
4979.TW
1597.TW
3706.TW
2049.TW
3450.TW
6669.TW
2308.TW
6781.TW
2345.TW
6442.TW
3037.TW
3665.TW
2059.TW
2618.TW
1519.TW
3443.TW
5871.TW
8234.TW
4583.TW
2357.TW
4763.TW
6223.TW
6188.TW
2630.TW
4931.TW
2486.TW
3529.TW
2379.TW
6789.TW
5371.TW
3029.TW
9105.TW
2404.TW
2324.TW
6689.TW
4991.TW
2233.TW
3227.TW
2359.TW
6415.TW
3406.TW
5269.TW
8033.TW
3694.TW
6191.TW
3044.TW
2504.TW
6245.TW
6510.TW
3689.TW
3653.TW
4576.TW
1477.TW
3131.TW
8046.TW
2455.TW
6214.TW
3059.TW
4510.TW
3019.TW
3147.TW
6526.TW
3013.TW
3702.TW
1536.TW
6005.TW
6451.TW
4974.TW
6515.TW
8111.TW
3025.TW
2332.TW
4968.TW
2348.TW
6919.TW
3504.TW
5474.TW
2360.TW
5309.TW
4912.TW
4549.TW
6558.TW
3264.TW
3663.TW
3545.TW
3594.TW
6643.TW
6928.TW
1316.TW
9941.TW
5439.TW
3031.TW
8249.TW
5234.TW
5284.TW
6438.TW
6683.TW
4571.TW
6706.TW
6535.TW
5392.TW
7402.TW
6640.TW
3483.TW
6811.TW
5443.TW
6742.TW
8086.TW
3535.TW
2250.TW
3580.TW
3558.TW
4566.TW
2427.TW
3447.TW
8937.TW
3228.TW
3149.TW
6957.TW
8404.TW
9938.TW
6752.TW
1569.TW
1442.TW
3230.TW
2745.TW
4503.TW
1225.TW
3498.TW
6625.TW
4541.TW
2468.TW
6863.TW
2471.TW
6695.TW
2524.TW
5481.TW
3630.TW
6517.TW
6141.TW
6592.TW
9919.TW
4162.TW
2241.TW
8047.TW
2431.TW
6768.TW
2516.TW
3597.TW
4729.TW
2722.TW
1595.TW
6791.TW
5490.TW
5213.TW
3339.TW
1591.TW
6756.TW
2444.TW
6698.TW
8147.TW
2415.TW
1325.TW
7556.TW
8171.TW
6874.TW
6217.TW
8059.TW
4555.TW
3441.TW
3664.TW
3625.TW
2705.TW
2929.TW
2466.TW
6142.TW
2033.TW
5432.TW
2734.TW
6684.TW
3685.TW
2491.TW
6835.TW
4108.TW
4934.TW
6264.TW
2025.TW
3313.TW
5201.TW
5364.TW
2924.TW
6144.TW
2702.TW
3229.TW
9136.TW
5302.TW
